dropout	middle	kn_num	lr	acc			max_dev_acc		test_time		epochs
0	7	100	0.005	0.0%			0%			1488.1577491760254	256
0	7	100	0.005	0.0%			0%			1569.1108703613281	512
0	7	100	0.01	30.467006558555845%	24.265457359524277%	1493.140459060669	64
0	7	100	0.01	30.467006558555845%	24.265457359524277%	1461.1780643463135	128
0	7	100	0.01	30.467006558555845%	24.265457359524277%	1488.144874572754	256
0	7	100	0.01	30.467006558555845%	24.265457359524277%	1545.1297760009766	512
0	7	100	0.05	23.648419971774594%	24.179986241508285%	1523.1239795684814	64
0	7	100	0.05	23.648419971774594%	24.179986241508285%	1643.537998199463	128
0	7	100	0.05	23.648419971774594%	24.179986241508285%	1455.18159866333	256
0	7	100	0.05	23.648419971774594%	24.179986241508285%	1443.1695938110352	512
0	7	100	0.1	7.3597117083032595%	12.426061897620105%	1524.122953414917	64
0	7	100	0.1	7.3597117083032595%	12.426061897620105%	1466.1750793457031	128
0	7	100	0.1	7.3597117083032595%	12.426061897620105%	1507.1511268615723	256
0	7	100	0.1	7.3597117083032595%	12.426061897620105%	1437.1917247772217	512
0	8	100	0.001	1.8322900365153887%	3.899402668453079%	1615.0712966918945	64
0	8	100	0.001	7.724939705573512%	7.923346680673767%	1381.2224864959717	128
0	8	100	0.001	13.842926765461979%	16.171588604179462%	1462.1601104736328	256
0	8	100	0.001	19.00716921540137%	20.791789947710242%	1369.213581085205	512
0	8	100	0.002	8.958606542807404%	5.9828057835091855%	1427.1795749664307	64
0	8	100	0.002	16.939877545511344%	13.83566869498874%	1486.1445426940918	128
0	8	100	0.002	19.557215998431754%	18.549051898993273%	1527.1215438842773	256
0	8	100	0.002	22.25865527802147%	21.78479655032996%	1471.1675643920898	512
0	8	100	0.005	0.0%			0%			1397.1974849700928	64
0	8	100	0.005	0.0%			0%			1453.1831741333008	128
0	8	100	0.005	0.0%			0%			1443.2504177093506	256
0	8	100	0.005	0.0%			0%			1477.165699005127	512
0	8	100	0.01	19.37214191329674%	19.903626935840574%	1522.1493244171143	64
0	8	100	0.01	19.37214191329674%	19.903626935840574%	1457.1683406829834	128
0	8	100	0.01	19.37214191329674%	19.903626935840574%	1447.1876621246338	256
0	8	100	0.01	19.37214191329674%	19.903626935840574%	1496.159553527832	512
0	8	100	0.05	0.0%			0%			1446.169137954712	64
0	8	100	0.05	0.0%			0%			1480.1483154296875	128
0	8	100	0.05	0.0%			0%			1610.0752353668213	256
0	8	100	0.05	0.0%			0%			1467.1571254730225	512
0	8	100	0.1	17.99340005819863%	15.177292096987284%	1489.1448020935059	64
0	8	100	0.1	17.99340005819863%	15.177292096987284%	1490.156888961792	128
0	8	100	0.1	17.99340005819863%	15.177292096987284%	1527.13942527771	256
